ds,ora,article,y,pret
4/12/2023,11:08,TRADITIONAL BAGUETTE,2,"1,20 €"
4/13/2023,11:13,TRADITIONAL BAGUETTE,5,"1,20 €"
4/14/2023,11:13,BRIOCHE,1,"5,00 €"
4/15/2023,11:13,SEIGLE,1,"1,80 €"
4/16/2023,11:13,COMPLET,1,"1,50 €"
4/17/2023,11:14,BAGUETTE,2,"0,90 €"
4/18/2023,11:14,CROISSANT,6,"1,10 €"
4/19/2023,11:14,FICELLE,1,"0,60 €"
4/20/2023,11:14,TRADITIONAL BAGUETTE,1,"1,20 €"
4/21/2023,11:15,BANETTE,5,"1,05 €"
4/22/2023,11:16,CROISSANT,2,"1,10 €"
4/23/2023,11:16,PAIN AU CHOCOLAT,4,"1,20 €"
4/24/2023,11:16,TRADITIONAL BAGUETTE,1,"1,20 €"
4/25/2023,11:16,PAIN AUX RAISINS,1,"1,40 €"
4/26/2023,11:17,PAIN AUX RAISINS,1,"1,40 €"
4/27/2023,11:17,CROISSANT,1,"1,10 €"
4/28/2023,11:17,TRADITIONAL BAGUETTE,2,"1,20 €"
4/29/2023,11:18,TRADITIONAL BAGUETTE,1,"1,20 €"
4/30/2023,11:19,CROISSANT,1,"1,10 €"
5/1/2023,11:19,TRADITIONAL BAGUETTE,1,"1,20 €"
5/2/2023,11:19,PAIN AU CHOCOLAT,1,"1,20 €"
5/3/2023,11:19,FICELLE,1,"0,60 €"
5/4/2023,11:19,BANETTE,1,"1,05 €"
5/5/2023,11:20,SPECIAL BREAD,1,"2,40 €"
5/6/2023,11:20,COUPE,1,"0,15 €"
5/7/2023,11:22,PAIN AU CHOCOLAT,1,"1,20 €"
5/8/2023,11:22,CROISSANT,3,"1,10 €"
5/9/2023,11:22,SPECIAL BREAD,1,"2,40 €"
5/10/2023,11:22,COUPE,1,"0,15 €"
5/11/2023,11:22,GAL POMME 6P,1,"12,00 €"
5/12/2023,11:22,BAGUETTE,1,"0,90 €"
5/13/2023,11:23,BANETTE,2,"1,05 €"
5/14/2023,11:23,GAL POMME 4P,1,"8,00 €"
5/15/2023,11:24,COOKIE,4,"1,00 €"
5/16/2023,11:25,TRADITIONAL BAGUETTE,2,"1,20 €"
5/17/2023,11:25,GAL FRANGIPANE 6P,1,"12,00 €"
5/18/2023,11:25,BANETTE,1,"1,05 €"
5/19/2023,11:26,FINANCIER X5,1,"3,00 €"
5/20/2023,11:26,TRADITIONAL BAGUETTE,1,"1,20 €"
5/21/2023,11:29,BAGUETTE,2,"0,90 €"
5/22/2023,11:30,TRADITIONAL BAGUETTE,1,"1,20 €"
5/23/2023,11:30,COUPE,2,"0,15 €"
5/24/2023,11:30,SEIGLE,1,"1,80 €"
5/25/2023,11:30,CEREAL BAGUETTE,3,"1,25 €"
5/26/2023,11:30,VIK BREAD,2,"2,50 €"
5/27/2023,11:33,COUPE,1,"0,15 €"
5/28/2023,11:33,TRADITIONAL BAGUETTE,1,"1,20 €"
5/29/2023,11:33,MOISSON,1,"2,00 €"
5/30/2023,11:33,GAL FRANGIPANE 6P,1,"12,00 €"
5/31/2023,11:34,TRADITIONAL BAGUETTE,1,"1,20 €"
6/1/2023,11:34,BAGUETTE,2,"0,90 €"
6/2/2023,11:34,GAL POMME 6P,1,"12,00 €"
6/3/2023,11:34,BANETTE,1,"1,05 €"
6/4/2023,11:44,DIVERS VIENNOISERIE,1,"4,00 €"
6/5/2023,11:44,SAND JB EMMENTAL,5,"3,50 €"
6/6/2023,11:45,TRADITIONAL BAGUETTE,1,"1,20 €"
6/7/2023,11:45,BANETTE,2,"1,05 €"
6/8/2023,11:45,BAGUETTE,4,"0,90 €"
6/9/2023,11:46,SPECIAL BREAD,1,"2,40 €"
6/10/2023,11:46,BAGUETTE,1,"0,90 €"
6/11/2023,11:46,TRADITIONAL BAGUETTE,3,"1,20 €"
6/12/2023,11:48,BOULE 400G,2,"1,50 €"
6/13/2023,11:48,PAIN AUX RAISINS,2,"1,40 €"
6/14/2023,11:48,CROISSANT,2,"1,10 €"
6/15/2023,11:48,COUPE,2,"0,15 €"
6/16/2023,11:48,GAL POMME 4P,1,"8,00 €"
6/17/2023,11:49,TRADITIONAL BAGUETTE,5,"1,20 €"
6/18/2023,11:49,BANETTE,2,"1,05 €"
6/19/2023,11:50,VIK BREAD,1,"2,50 €"
6/20/2023,11:50,GACHE,1,"5,00 €"
6/21/2023,11:50,TRADITIONAL BAGUETTE,1,"1,20 €"
6/22/2023,11:50,SEIGLE,1,"1,80 €"
6/23/2023,11:51,GAL FRANGIPANE 6P,1,"12,00 €"
6/24/2023,11:51,BAGUETTE,1,"0,90 €"
6/25/2023,11:52,COMPLET,2,"1,50 €"
6/26/2023,11:52,COUPE,2,"0,15 €"
6/27/2023,11:53,BANETTE,1,"1,05 €"
6/28/2023,11:53,TRADITIONAL BAGUETTE,1,"1,20 €"
6/29/2023,11:54,BAGUETTE,1,"0,90 €"
6/30/2023,11:58,BANETTE,2,"1,05 €"
7/1/2023,11:59,BANETTE,1,"1,05 €"
7/2/2023,12:00,TRADITIONAL BAGUETTE,1,"1,20 €"
7/3/2023,12:01,PAIN AU CHOCOLAT,4,"1,20 €"
7/4/2023,12:01,TRADITIONAL BAGUETTE,1,"1,20 €"
7/5/2023,12:03,COUPE,1,"0,15 €"
7/6/2023,12:03,BANETTINE,1,"0,60 €"
7/7/2023,12:03,MOISSON,1,"2,00 €"
7/8/2023,12:03,BANETTE,1,"1,05 €"
7/9/2023,12:08,SANDWICH COMPLET,2,"4,50 €"
